Region,Variable,Category,Base_Value,Exp_2pct,Exp_5pct,Exp_10pct,Chg_2pct,Chg_5pct,Chg_10pct,PctChg_2pct,PctChg_5pct,PctChg_10pct
LTU,VXMD_Info_Exports,Trade,214.4400,214.3010,214.0960,213.7610,-0.1390,-0.3440,-0.6790,-0.064820,-0.160418,-0.316639
LUX,VXMD_Info_Exports,Trade,121.1900,121.0470,120.8360,120.4930,-0.1430,-0.3540,-0.6970,-0.117997,-0.292103,-0.575130
LVA,VXMD_Info_Exports,Trade,668.9970,668.9950,668.9890,668.9710,-0.0020,-0.0080,-0.0260,-0.000299,-0.001196,-0.003886
MENA,VXMD_Info_Exports,Trade,24164.3000,24167.2000,24171.3000,24178.0000,2.9000,7.0000,13.7000,0.012001,0.028968,0.056695
MEX,VXMD_Info_Exports,Trade,260.5410,260.5900,260.6620,260.7750,0.0490,0.1210,0.2340,0.018807,0.046442,0.089813
MLT,VXMD_Info_Exports,Trade,388.8230,388.5070,388.0420,387.2850,-0.3160,-0.7810,-1.5380,-0.081271,-0.200863,-0.395553
MYS,VXMD_Info_Exports,Trade,5780.0600,5780.9500,5782.2300,5784.2400,0.8900,2.1700,4.1800,0.015398,0.037543,0.072318
NGA,VXMD_Info_Exports,Trade,38.7236,38.7296,38.7381,38.7514,0.0060,0.0145,0.0278,0.015494,0.037445,0.071791
NLD,VXMD_Info_Exports,Trade,172.1670,171.9200,171.5540,170.9590,-0.2470,-0.6130,-1.2080,-0.143465,-0.356050,-0.701644
NOR,VXMD_Info_Exports,Trade,1166.3900,1164.3400,1161.3000,1156.3400,-2.0500,-5.0900,-10.0500,-0.175756,-0.436389,-0.861633
NZL,VXMD_Info_Exports,Trade,286.9910,287.0430,287.1170,287.2330,0.0520,0.1260,0.2420,0.018119,0.043904,0.084323
Oth_E_Asia,VXMD_Info_Exports,Trade,8221.2600,8222.1700,8223.4800,8225.5700,0.9100,2.2200,4.3100,0.011069,0.027003,0.052425
Oth_Eurorpe,VXMD_Info_Exports,Trade,72477.1000,72484.0000,72494.3000,72511.0000,6.9000,17.2000,33.9000,0.009520,0.023732,0.046773
Oth_S_Asia,VXMD_Info_Exports,Trade,6324.7400,6325.7900,6327.3100,6329.7000,1.0500,2.5700,4.9600,0.016601,0.040634,0.078422
Oth_S_Euro,VXMD_Info_Exports,Trade,61370.0000,61374.5000,61381.3000,61392.5000,4.5000,11.3000,22.5000,0.007333,0.018413,0.036663
PAK,VXMD_Info_Exports,Trade,329.2080,329.2430,329.2950,329.3790,0.0350,0.0870,0.1710,0.010632,0.026427,0.051943
PHL,VXMD_Info_Exports,Trade,1660.4400,1660.6300,1660.9200,1661.3800,0.1900,0.4800,0.9400,0.011443,0.028908,0.056612
POL,VXMD_Info_Exports,Trade,73.5871,73.5886,73.5903,73.5919,0.0015,0.0032,0.0048,0.002038,0.004349,0.006523
PRT,VXMD_Info_Exports,Trade,486.0200,485.3240,484.2940,482.6170,-0.6960,-1.7260,-3.4030,-0.143204,-0.355129,-0.700177
ROU,VXMD_Info_Exports,Trade,11.7226,11.7225,11.7224,11.7223,-0.0001,-0.0002,-0.0003,-0.000853,-0.001706,-0.002559
ROW,VXMD_Info_Exports,Trade,0.7031,0.7031,0.7032,0.7033,0.0000,0.0001,0.0002,0.006542,0.016783,0.034846
RUS,VXMD_Info_Exports,Trade,711.4060,711.2050,710.9100,710.4320,-0.2010,-0.4960,-0.9740,-0.028254,-0.069721,-0.136912
R_L_America,VXMD_Info_Exports,Trade,75997.8000,76004.4000,76014.4000,76031.2000,6.6000,16.6000,33.4000,0.008684,0.021843,0.043949
R_N_America,VXMD_Info_Exports,Trade,17403.8000,17403.0000,17402.1000,17401.1000,-0.8000,-1.7000,-2.7000,-0.004597,-0.009768,-0.015514
SGP,VXMD_Info_Exports,Trade,439.1360,439.0850,439.0070,438.8730,-0.0510,-0.1290,-0.2630,-0.011614,-0.029376,-0.059890
SVK,VXMD_Info_Exports,Trade,78.0447,78.0551,78.0693,78.0900,0.0104,0.0246,0.0453,0.013326,0.031520,0.058044
SVN,VXMD_Info_Exports,Trade,716.0990,716.1110,716.1370,716.1910,0.0120,0.0380,0.0920,0.001676,0.005307,0.012847
SWE,VXMD_Info_Exports,Trade,1510.6100,1509.8400,1508.7200,1506.9300,-0.7700,-1.8900,-3.6800,-0.050973,-0.125115,-0.243610
Sb_Sh_Africa,VXMD_Info_Exports,Trade,3587.1700,3587.6700,3588.3800,3589.5300,0.5000,1.2100,2.3600,0.013939,0.033731,0.065790
THA,VXMD_Info_Exports,Trade,2006.6900,2006.8100,2006.9800,2007.2800,0.1200,0.2900,0.5900,0.005980,0.014452,0.029402
TWN,VXMD_Info_Exports,Trade,588.5550,588.6330,588.7450,588.9230,0.0780,0.1900,0.3680,0.013253,0.032282,0.062526
USA,VXMD_Info_Exports,Trade,5220.9100,5220.6500,5220.2700,5219.6200,-0.2600,-0.6400,-1.2900,-0.004980,-0.012258,-0.024708
VNM,VXMD_Info_Exports,Trade,3687.9500,3688.4800,3689.2500,3690.4600,0.5300,1.3000,2.5100,0.014371,0.035250,0.068059
XOC,VXMD_Info_Exports,Trade,781.5980,781.6820,781.8050,782.0070,0.0840,0.2070,0.4090,0.010747,0.026484,0.052329
ZAF,VXMD_Info_Exports,Trade,274.1290,274.1660,274.2200,274.3030,0.0370,0.0910,0.1740,0.013497,0.033196,0.063474
ARG,VXMD_Info_Imports,Trade,18161.4000,18163.2000,18165.6000,18169.1000,1.8000,4.2000,7.7000,0.009911,0.023126,0.042398
AUS,VXMD_Info_Imports,Trade,1486.9500,1487.5800,1488.5200,1490.0400,0.6300,1.5700,3.0900,0.042369,0.105585,0.207808
AUT,VXMD_Info_Imports,Trade,70467.4000,70479.4000,70496.5000,70523.5000,12.0000,29.1000,56.1000,0.017029,0.041296,0.079611
BEL,VXMD_Info_Imports,Trade,3580.7400,3581.3900,3582.3400,3583.8500,0.6500,1.6000,3.1100,0.018153,0.044684,0.086854
BGD,VXMD_Info_Imports,Trade,6258.2100,6258.3900,6258.6300,6258.9800,0.1800,0.4200,0.7700,0.002876,0.006711,0.012304
BGR,VXMD_Info_Imports,Trade,1954.6800,1954.8000,1954.9600,1955.2200,0.1200,0.2800,0.5400,0.006139,0.014325,0.027626
BRA,VXMD_Info_Imports,Trade,8146.1400,8146.7300,8147.5300,8148.7200,0.5900,1.3900,2.5800,0.007243,0.017063,0.031671
CAN,VXMD_Info_Imports,Trade,1174.2300,1174.4300,1174.7400,1175.2300,0.2000,0.5100,1.0000,0.017032,0.043433,0.085162
CHE,VXMD_Info_Imports,Trade,10708.2000,10709.2000,10710.5000,10712.4000,1.0000,2.3000,4.2000,0.009339,0.021479,0.039222
CHL,VXMD_Info_Imports,Trade,5107.0500,5107.4100,5107.9000,5108.6100,0.3600,0.8500,1.5600,0.007049,0.016644,0.030546
CHN,VXMD_Info_Imports,Trade,1291.3600,1291.6600,1292.0800,1292.7000,0.3000,0.7200,1.3400,0.023231,0.055755,0.103767
CYP,VXMD_Info_Imports,Trade,96.5806,96.5727,96.5636,96.5538,-0.0079,-0.0170,-0.0268,-0.008180,-0.017602,-0.027749
CZE,VXMD_Info_Imports,Trade,7290.0100,7253.7100,7204.2400,7131.9200,-36.3000,-85.7700,-158.0900,-0.497942,-1.176542,-2.168584
DEU,VXMD_Info_Imports,Trade,654.2330,654.2790,654.3470,654.4600,0.0460,0.1140,0.2270,0.007031,0.017425,0.034697
DNK,VXMD_Info_Imports,Trade,1182.1300,1182.4700,1182.9600,1183.7700,0.3400,0.8300,1.6400,0.028762,0.070212,0.138733
ESP,VXMD_Info_Imports,Trade,58.2398,58.2447,58.2518,58.2629,0.0049,0.0120,0.0231,0.008413,0.020604,0.039664
EST,VXMD_Info_Imports,Trade,1433.5000,1434.4700,1435.8900,1438.2100,0.9700,2.3900,4.7100,0.067667,0.166725,0.328566
FIN,VXMD_Info_Imports,Trade,863.3380,865.0220,867.5120,871.5760,1.6840,4.1740,8.2380,0.195057,0.483472,0.954203
FRA,VXMD_Info_Imports,Trade,59.2172,59.1914,59.1562,59.1050,-0.0258,-0.0610,-0.1122,-0.043568,-0.103011,-0.189472
GBR,VXMD_Info_Imports,Trade,5775.7700,5776.5500,5777.6500,5779.3500,0.7800,1.8800,3.5800,0.013505,0.032550,0.061983
